Title,Valence,Genre,Energy
Daddy Yankee & Snow - Con Calma (Video Oficial),0.656,latin hip hop,0.86
Café Tacvba - Eres (Video Oficial),0.446,latin alternative,0.731
Blondie - Heart Of Glass,0.685,candy pop,0.654
Desiigner - Panda (Official Music Video),0.266,pop rap,0.731
"J Balvin, Willy William - Mi Gente (Official Video)",0.288,reggaeton,0.704
Maroon 5 - She Will Be Loved (Official Music Video),0.465,pop,0.663
Guns N' Roses - Don't Cry,0.391,glam metal,0.825
Katy Perry - Roar,0.436,pop,0.771
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),0.665,pop rap,0.526
The Killers - Mr. Brightside (Official Music Video),0.236,alternative rock,0.911
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,0.207,karaoke,0.64
Steve Earle - Copperhead Road (Official Music Video),0.706,alternative country,0.588
Maybeshewill - Co-Conspirators,0.306,british post-rock,0.658
Maroon 5 - One More Night (Official Music Video),0.613,pop,0.82
Gorillaz - Feel Good Inc. (Official Video),0.772,alternative hip hop,0.705
Alkaline Trio - Clavicle,0.517,chicago punk,0.94
Gabby Barrett - I Hope (Official Music Video),0.377,contemporary country,0.536
The White Stripes - Seven Nation Army (Official Music Video),0.278,alternative rock,0.446
Neck Deep - What Did You Expect_,0.551,pop punk,0.946
Hozier - Take Me To Church,0.437,irish singer-songwriter,0.664
Waxahatchee - Grass Stain,0.421,alabama indie,0.324
Soilwork - Spectrum of Eternity,0.121,alternative metal,0.963
Stromae - papaoutai (Official Video),0.254,belgian pop,0.809
Owl City - Fireflies (Official Music Video),0.472,indietronica,0.662
Keith Urban - Blue Ain't Your Color (Official Music Video),0.479,australian country,0.416
Horse Feathers - Curs in the Weeds,0.124,indie folk,0.0822
Panic! At The Disco - High Hopes (Official Video),0.681,modern rock,0.904
Death Grips - Lock Your Doors,0.417,escape room,0.961
Survivor - Eye Of The Tiger (Official HD Video),0.552,album rock,0.438
De Hofnar - Zonnestraal,0.276,deep tropical house,0.739
Gem Club - Twins,0.042,boston indie,0.0673
Taylor Swift - Teardrops On My Guitar,0.289,pop,0.417
Roddy Ricch - The Box [Official Music Video],0.642,melodic rap,0.586
Lady Gaga - Poker Face (Official Music Video),0.787,art pop,0.806
Coldplay - The Scientist (Official 4K Video),0.213,permanent wave,0.442
The Glitch Mob - Warrior Concerto,0.113,glitch,0.749
Justin Townes Earle - Harlem River Blues,0.482,alternative country,0.703
Miley Cyrus - Flowers (Official Video),0.632,pop,0.691
Shania Twain - Man! I Feel Like A Woman! (Official Music Video),0.657,canadian country,0.74
Ellie Goulding - Burn (Official Video),0.346,indietronica,0.772
Glowworm - Contrails,0.0923,ambient post-rock,0.576
Accept - Stalingrad,0.0962,german heavy metal,0.99
Calvin Harris - Summer (Official Video),0.743,dance pop,0.856
Graveyard - Goliath,0.575,modern blues rock,0.903
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],0.579,dance pop,0.783
Russian Circles - Mlàdek,0.174,american post-rock,0.908
Future - Mask Off (Official Music Video),0.281,atl hip hop,0.434
Lil Tecca - 500lbs,0.529,melodic rap,0.785
Death Grips - No Love,0.608,escape room,0.884
Motorama - Letter Home,0.59,deep gothic post-punk,0.94
Ólafur Arnalds - 3055,0.0685,compositional ambient,0.45
"Post Malone, Swae Lee - Sunflower",0.925,dfw rap,0.522
Rites of Spring - For Want Of,0.347,dc hardcore,0.942
Stoned Jesus - Bright Like the Morning,0.0924,stoner metal,0.538
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",0.323,art pop,0.385
Savage Garden - Truly Madly Deeply,0.816,boy band,0.698
Queen - We Will Rock You (Official Video),0.473,classic rock,0.497
Vildhjarta - Traces,0.124,djent,0.906
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],0.72,australian pop,0.495
Zoë Keating - Sun Will Set,0.129,cello,0.129
Snowing - Kirk Cameron Crowe,0.508,midwest emo,0.904
Red Hot Chili Peppers - Otherside [Official Music Video],0.513,alternative rock,0.795
Deathstars - Death Dies Hard,0.274,cyber metal,0.939
Master KG - Jerusalema  [Feat. Nomcebo] (Official Music Video),0.827,bolobedu house,0.483
Stoned Jesus - I'm the Mountain,0.0656,stoner metal,0.396
